mesh_node,dic_node,distance
229,2681,0.17470056186685975
230,2684,0.2314687377136163
231,2687,0.2895414060060733
232,2691,0.26144400850888155
233,2694,0.20387782715747474
234,2697,0.14834155096374968
235,2700,0.09785177234473301
236,2703,0.06435599821202763
237,53,0.17274333866171213
238,209,0.31361070828371895
239,2511,0.09002598628455336
240,2514,0.03576776423623992
241,2517,0.052161085182231254
242,2520,0.10667833250170784
243,2523,0.16504180626853102
244,2526,0.22426833935827353
245,2529,0.2838181412308886
246,2533,0.25509112310108906
247,2536,0.19566471298176374
248,2539,0.13683467119890916
249,2542,0.07938501100157744
250,2545,0.029944967072367497
251,50,0.15933176554777004
252,212,0.13067767506629466
253,2353,0.08928079509378337
254,2356,0.019084191948236594
255,2359,0.04232450651329352
256,2362,0.10222940706837136
257,2365,0.1622016734210383
258,2368,0.22218657268773823
259,2371,0.28217604848031036
260,2375,0.25326284000851923
261,2378,0.1932751017343978
262,2381,0.13339532333001566
263,2384,0.07323978355370891
264,2387,0.005780192412605723
265,46,0.15324528479705454
266,216,0.28979217481060987
267,2195,0.09184561435031453
268,2198,0.04222157727445896
269,2201,0.05669301737897675
270,2204,0.10896598569044337
271,2207,0.16652962868067744
272,2210,0.22536549747169088
273,2213,0.28468589129758715
274,2217,0.25605624479227207
275,2220,0.1969213023478693
276,2223,0.13862556277346022
277,2226,0.08238203847279614
278,2229,0.040212251689638254
279,43,0.175819521050437
280,219,0.12156126633197706
281,2037,0.11399810860005757
282,2040,0.07452230714649061
283,2043,0.08359963480404321
284,2046,0.12509351205129043
285,2049,0.17750188153470584
286,2052,0.233590257011073
287,2055,0.2912402057129785
288,2059,0.2633241371711989
289,2062,0.2062833004346629
290,2065,0.1516306280871216
291,2068,0.1028407568802234
292,2071,0.07301849022790557
293,39,0.1338606536182479
294,223,0.2660904452771587
295,1879,0.1345112418985717
296,1882,0.10812361356912997
297,1885,0.11452411625342224
298,1888,0.14756443006898484
299,1891,0.19399430974288578
300,1894,0.24635600750693523
301,1897,0.30157541625271117
302,1901,0.274711622399225
303,1904,0.22063470783735584
304,1907,0.17064208636310377
305,1910,0.12918388152949917
306,1913,0.10793739767230393
307,36,0.19288833452178722
308,226,0.11682535756527919
309,1721,0.16396732342346168
310,1724,0.14195787069764318
311,1727,0.1469514239887094
312,1730,0.17393737042472035
313,1733,0.21473877158375657
314,1736,0.26300233885545427
315,1739,0.3153199636824127
316,1743,0.28973336585539544
317,1746,0.23907869438985446
318,1749,0.1939011847489206
319,1752,0.15868851044936194
320,1755,0.14085597030419905
321,32,0.11446073377228863
322,230,0.24244579856705933
323,1563,0.19226032131263435
324,1566,0.1760884550286288
325,1569,0.180071492372931
326,1572,0.20269491898755504
327,1575,0.23862891981988665
328,1578,0.2828449249969748
329,1581,0.33205075041291987
330,1585,0.30785783186887017
331,1588,0.2607482377011637
